Seller_ID,Name,City,Locality,Latitude,Longitude,Product,Price_per_kg,Rating,Stock_quantity,Verified,Cluster,Email,Mobile
SELL0001,Nitin Shinde,Hyderabad,Gachibowli,17.4448,78.3498,Garlic,38.47,3.1,92,Yes,0,nitin.shinde55@yahoo.in,9178568030
SELL0002,Mahesh Chavan,Shimla,Mall Road,31.1048,77.1734,Ginger,56.03,4.8,214,Yes,1,mahesh.chavan53@gmail.com,7856970493
SELL0003,Shivam Joshi,Ahmedabad,Navrangpura,23.0415,72.56,Onions,31.32,3.9,89,No,2,shivam.joshi44@yahoo.in,8733627023
SELL0004,Deepak Bhosale,Ranchi,Lalpur,23.3619,85.338,Garlic,38.92,3.1,393,Yes,3,deepak.bhosale47@yahoo.in,9535797670
SELL0005,Santosh Joshi,Thiruvananthapuram,Kowdiar,8.5241,76.9366,Garlic,44.98,2.6,258,No,4,santosh.joshi22@yahoo.in,9315592716
SELL0006,Ashok Joshi,Mumbai,Andheri,19.1197,72.8468,Green Chillies,39.99,4.7,90,No,2,ashok.joshi21@outlook.com,7216602185
SELL0007,Ajay Yadav,Patna,Boring Road,25.6127,85.1582,Onions,34.44,3.0,254,Yes,3,ajay.yadav34@yahoo.in,9424935967
SELL0008,Anil Naik,Guwahati,Dispur,26.1445,91.7362,Garlic,46.6,3.7,476,Yes,3,anil.naik20@yahoo.in,9128348876
SELL0009,Ganesh Jadhav,Chennai,T. Nagar,13.0418,80.2332,Potatoes,19.74,3.3,100,Yes,4,ganesh.jadhav22@outlook.com,7361663144
SELL0010,Amit Rathod,Shimla,Mall Road,31.1048,77.1734,Green Chillies,31.06,3.5,203,Yes,1,amit.rathod59@gmail.com,7666472983
SELL0011,Ashok Rathod,Guwahati,Dispur,26.1445,91.7362,Potatoes,55.75,4.4,351,No,3,ashok.rathod99@gmail.com,7409732825
SELL0012,Ashok Salunkhe,Kolkata,Salt Lake,22.5867,88.4173,Tomatoes,39.35,2.8,391,Yes,3,ashok.salunkhe36@yahoo.in,7480213255
SELL0013,Mahesh Rathod,Delhi,Karol Bagh,28.6518,77.1905,Potatoes,37.42,4.7,361,No,1,mahesh.rathod58@yahoo.in,8587295413
SELL0014,Santosh Bhosale,Chandigarh,Sector 17,30.741,76.7682,Potatoes,20.72,4.6,489,Yes,1,santosh.bhosale21@gmail.com,8356391045
SELL0015,Suresh Bhosale,Surat,Adajan,21.1702,72.8311,Onions,46.98,3.3,489,Yes,2,suresh.bhosale92@yahoo.in,7324054237
SELL0016,Nitin Naik,Surat,Adajan,21.1702,72.8311,Tomatoes,17.23,3.0,87,Yes,2,nitin.naik16@gmail.com,7691348592
SELL0017,Rajesh Chavan,Ahmedabad,Navrangpura,23.0415,72.56,Green Chillies,48.39,4.3,54,Yes,2,rajesh.chavan29@yahoo.in,9222219374
SELL0018,Ravi Rane,Kolkata,Salt Lake,22.5867,88.4173,Tomatoes,59.59,4.7,162,Yes,3,ravi.rane55@yahoo.in,8153065388
SELL0019,Vijay Patil,Ahmedabad,Navrangpura,23.0415,72.56,Garlic,42.98,4.9,330,No,2,vijay.patil12@yahoo.in,7507410375
SELL0020,Mahesh Shinde,Kolkata,Salt Lake,22.5867,88.4173,Potatoes,47.92,4.2,58,No,3,mahesh.shinde35@yahoo.in,8224993857
SELL0021,Vijay Kulkarni,Ranchi,Lalpur,23.3619,85.338,Ginger,37.7,4.9,492,Yes,3,vijay.kulkarni90@yahoo.in,8383760223
SELL0022,Kiran Shinde,Mumbai,Andheri,19.1197,72.8468,Onions,15.1,3.0,214,No,2,kiran.shinde43@yahoo.in,9529692865
SELL0023,Prakash Sawant,Bengaluru,Whitefield,12.9698,77.7499,Garlic,50.44,4.8,166,Yes,4,prakash.sawant92@gmail.com,7623181694
SELL0024,Ganesh Thakur,Delhi,Karol Bagh,28.6518,77.1905,Green Chillies,14.19,3.1,424,No,1,ganesh.thakur78@outlook.com,8867360612
SELL0025,Deepak Chavan,Indore,Vijay Nagar,22.75,75.892,Ginger,21.23,4.6,99,No,0,deepak.chavan44@yahoo.in,7139833509
SELL0026,Ramesh Deshmukh,Chandigarh,Sector 17,30.741,76.7682,Garlic,12.09,3.3,426,No,1,ramesh.deshmukh93@outlook.com,8543510709
SELL0027,Santosh Shinde,Jaipur,Malviya Nagar,26.85,75.815,Onions,53.26,4.0,371,Yes,1,santosh.shinde35@outlook.com,7236150567
SELL0028,Kiran More,Lucknow,Hazratganj,26.8505,80.9467,Tomatoes,29.67,3.6,435,No,1,kiran.more26@outlook.com,7721795203
SELL0029,Kiran Deshmukh,Nagpur,Dharampeth,21.1458,79.0882,Ginger,22.98,2.7,296,Yes,0,kiran.deshmukh85@gmail.com,8947344540
SELL0030,Ravi Thakur,Bengaluru,Whitefield,12.9698,77.7499,Garlic,12.07,4.1,193,No,4,ravi.thakur44@yahoo.in,9809155906
SELL0031,Anil Rane,Surat,Adajan,21.1702,72.8311,Ginger,55.38,3.3,164,Yes,2,anil.rane21@yahoo.in,8255301847
SELL0032,Ravi Sawant,Mumbai,Andheri,19.1197,72.8468,Onions,10.74,3.4,205,No,2,ravi.sawant97@yahoo.in,7806706373
SELL0033,Mahesh Chavan,Guwahati,Dispur,26.1445,91.7362,Onions,14.86,3.0,343,No,3,mahesh.chavan50@gmail.com,9332864451
SELL0034,Mahesh Joshi,Surat,Adajan,21.1702,72.8311,Tomatoes,24.66,4.9,62,No,2,mahesh.joshi55@yahoo.in,8172001040
SELL0035,Sunil Sharma,Jaipur,Malviya Nagar,26.85,75.815,Onions,29.87,4.0,387,Yes,1,sunil.sharma96@outlook.com,8696411024
SELL0036,Deepak Joshi,Surat,Adajan,21.1702,72.8311,Tomatoes,30.62,3.5,424,No,2,deepak.joshi14@gmail.com,9254408452
SELL0037,Ajay Shinde,Mumbai,Andheri,19.1197,72.8468,Ginger,41.99,3.4,289,No,2,ajay.shinde72@yahoo.in,9734809736
SELL0038,Shivam Rane,Delhi,Karol Bagh,28.6518,77.1905,Green Chillies,57.81,4.6,443,No,1,shivam.rane29@gmail.com,7826827729
SELL0039,Sunil Kamble,Ahmedabad,Navrangpura,23.0415,72.56,Onions,42.63,4.2,418,Yes,2,sunil.kamble34@outlook.com,8635114446
SELL0040,Suresh Joshi,Jaipur,Malviya Nagar,26.85,75.815,Potatoes,50.34,3.4,58,Yes,1,suresh.joshi39@outlook.com,9414553437
SELL0041,Ajay Rathod,Hyderabad,Gachibowli,17.4448,78.3498,Onions,12.68,2.6,50,Yes,0,ajay.rathod31@yahoo.in,7772693628
SELL0042,Nitin Naik,Mumbai,Andheri,19.1197,72.8468,Green Chillies,51.95,2.7,109,Yes,2,nitin.naik68@yahoo.in,9511097639
SELL0043,Nitin Joshi,Guwahati,Dispur,26.1445,91.7362,Garlic,21.82,3.6,11,Yes,3,nitin.joshi52@outlook.com,7974261026
SELL0044,Shivam Patil,Jaipur,Malviya Nagar,26.85,75.815,Potatoes,33.56,4.8,33,No,1,shivam.patil19@gmail.com,9518864897
SELL0045,Santosh Thakur,Delhi,Karol Bagh,28.6518,77.1905,Green Chillies,42.22,4.3,320,No,1,santosh.thakur45@outlook.com,7725556785
SELL0046,Kiran Bhosale,Shimla,Mall Road,31.1048,77.1734,Potatoes,45.03,3.7,292,Yes,1,kiran.bhosale40@outlook.com,9350984077
SELL0047,Rajesh Sawant,Chennai,T. Nagar,13.0418,80.2332,Green Chillies,20.4,2.7,90,No,4,rajesh.sawant77@gmail.com,9870971700
SELL0048,Santosh Joshi,Bhopal,TT Nagar,23.2333,77.4333,Tomatoes,50.74,4.6,431,No,0,santosh.joshi87@gmail.com,7854497237
SELL0049,Ajay Rathod,Delhi,Karol Bagh,28.6518,77.1905,Tomatoes,16.87,4.1,217,No,1,ajay.rathod28@yahoo.in,9159868583
SELL0050,Shivam Rathod,Lucknow,Hazratganj,26.8505,80.9467,Green Chillies,29.57,4.3,167,No,1,shivam.rathod32@gmail.com,7122989995
SELL0051,Rajesh More,Mumbai,Andheri,19.1197,72.8468,Garlic,31.2,3.5,398,No,2,rajesh.more41@yahoo.in,9316968049
